НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Токсовская Сидрерия (On The Bones),Москва,3.42,–,15
Yablochny Spas (Яблочный Спас),Москва,3.4,↑ +4,5
Appleton Ciders,Москва,3.39,–,19
Jaws Brewery,Moscow,3.38,–,10
Фонтан / Кваспром,Москва,3.38,↓ -6,2
Wolf's Brewery (Волковская Пивоварня),Москва,3.37,↓ -32,56
Gletcher Brewery (Глетчер),Москва,3.35,↓ -3,48
Ochakovo (Очаково),Москва,3.35,–,5
Oh No Cidrerie,Moscow,3.35,–,5
Los Pivnos Brewery,Москва,3.29,↓ -50,6
New Riga's Brewery,Москва,3.26,–,22
Tomskoe Pivo (Томское Пиво),Москва,3.25,–,2
Varyag Brewery (Пивоварня Варяг),Москва,3.25,↓ -58,1
Rustique Pivasique,Москва,3.25,↓ -31,1
Buket Chuvashii (Букет Чувашии),Москва,3.25,↓ -63,1
Custom Brewery,Москва,3.25,↓ -49,1
ТАРКОС BREWLAB,Москва,3.25,↑ +5,2
Chester's,Москва,3.25,↓ -38,1
Symbiotica by AF Brew × BSG,Moscow,3.25,↓ -46,1
Schwarz Kaiser Brewery,Москва,3.2,↓ -109,11
Victory Art Brew,Москва,3.18,–,18
ТАРКОС (TARKOS),Москва,3.17,–,12
Dreamteam Brewing Co,Москва,3.14,↓ -4,7
Та-Та,Moscow,3.08,–,12
Пивоварня Кожевниково (Kozhevnikovo Brewery),Москва,3.08,↑ +9,3
Time Bomb Brewery,Moscow,3.07,–,17
Knightberg,Москва,3.02,↓ -142,14
Zavod Trehsosensky (Завод Трехсосенский),Москва,3.0,↑ +5,1
Brewerich,Moscow,3.0,↑ +23,1
Tagilskoe Pivo (Тагильское Пиво),Москва,3.0,↓ -5,1
Crazy Brew,Москва,3.0,↓ -21,2
Gorilla Brewery,Москва,3.0,–,1
Hmeleff (Хмелефф),Москва,3.0,↑ +6,1
Pivzavod77 Brewery & Pub,Москва,2.98,↓ -62,10
Velka Morava,Moscow,2.88,–,8
Baltika Breweries (Балтика),Москва,2.82,–,14
Tihoretsky Pivovarenny Zavod (Тихорецкий Пивоваренный Завод),Москва,2.75,–,1
Varnitsa (Варница),Москва,2.75,–,1
Vyatich (Вятич),Москва,2.69,–,4
Trigger,Москва,2.68,–,15
FFF BREW,Moscow,2.67,–,3
Заповедник,Москва,2.58,↓ -105,3
Лось и Кедр (Moose & Cedar),Moscow,2.5,↓ -145,1
Gorkovskaya Brewery (Горьковская пивоварня),Москва,2.5,↓ -63,8
Bulgarpivo (Булгарпиво),Москва,2.5,↓ -154,2
Circada,Moscow,2.46,–,6
Heineken Brewery (Объединенные Пивоварни Хейнекен),Москва,2.38,↓ -1,2
Белый Кремль (Bely Kreml),Москва,2.33,–,3
Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),Москва,2.25,↓ -4,4
MainStream Brewery,Москва,2.25,↓ -80,7
Mookhomor Production,Москва,2.25,↓ -53,1
AB InBev Efes,Москва,2.21,↑ +3,13
Rainbow Fish Brewery,Москва,2.19,↓ -11,4
SVOI Brewing,Москва,2.17,–,3
Zavod Trehsosensky (Завод Трехсосенский),Moscow,2.0,↓ -22,1
Hammermill Brewery (Бутлегер),Москва,1.62,↓ -87,2
Sever Meadery,Москва,1.25,–,1
Lakinsky Pivzavod (Лакинский Пивзавод),Москва,1.25,–,1
Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),Москва,1.0,↓ -28,1
Brewlok Brewery,Moscow,0.0,–,1
ID Jons,Москва,0.0,↓ -116,1
