СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
SVOI Stout Металлургия 2.0,SVOI Brewing,2.9,↑ +193,5
Streisand Effect,Khoffner Brewery,2.9,↓ --154,5
Goseline Pump: Watermelon,AF Brew,2.9,–,15
Blanche De Fleurus,Пивоварня Мюнхель (Münhell Brewery),2.9,↑ +886,5
Greenhouse Fresh,AF Brew,2.9,–,26
Peach Cider,Appleton Ciders,2.91,↑ +1573,8
Carlsberg Wild Unfiltered Pilsner,Baltika Breweries (Балтика),2.91,–,11
Alabama,Wolf's Brewery (Волковская Пивоварня),2.91,↑ +241,26
Cruel World,Red Button Brewery,2.92,–,3
Жигулевское 1950,ТАРКОС (TARKOS),2.92,↑ +178,6
Pet Nat,Токсовская Сидрерия (On The Bones),2.92,–,6
Diamond Cola,Los Pivnos Brewery,2.92,↓ --525,3
Double Cherry,ТАРКОС (TARKOS),2.92,↑ +512,9
Старомонастырский Живой Квас,Afanasy (Афанасий),2.92,↓ --472,6
Alter Meister,Moscow Brewing Company (Московская Пивоваренная Компания),2.92,–,3
Белый космос V 2.0,Rainbow Fish Brewery,2.92,↓ --441,3
Zhigulevskoe (Жигулевское),AB InBev Efes,2.92,–,3
Балтика 0 малина,Baltika Breweries (Балтика),2.92,–,9
Жигулевское 1980,ТАРКОС (TARKOS),2.92,↑ +446,20
Seth & Rileys Garage Hard Californian Pear Drink,Baltika Breweries (Балтика),2.93,–,24
White Illusion,Mookhomor Production,2.93,↑ +810,7
Hard Seltzer Lime&Mint,Salden's Brewery,2.93,–,7
 Quadrupel,Trigger,2.93,↑ +1063,7
Боулер IPA,Gletcher Brewery (Глетчер),2.93,↓ --564,21
Dva Bobra Темное,ТАРКОС (TARKOS),2.93,↓ --902,7
PINEAPPLE ALE,Vasileostrovskaya Brewery (Василеостровская Пивоварня),2.93,–,18
Mary’s Breakfast,Konix Brewery,2.93,–,36
Мишенька под Вишенкой,Wolf's Brewery (Волковская Пивоварня),2.94,↑ +1192,12
Разум цветов / The Intelligence of the Flowers,Пивоварня Чаща / Thicket Brewery,2.94,–,12
Micro Secret,Konix Brewery,2.94,–,4
Extra Virgin Pale Ale,Gletcher Brewery (Глетчер),2.94,↑ +727,8
Valentina V 2.0,Samovar Brew,2.94,↑ +1082,16
Chesters Original Apple Semi Dry Cider,Chester's,2.94,↑ +534,8
Русский Имперский Стаут,Пивоварня Якорь,2.94,↑ +923,8
Два Гуся Сидр Яблочный,Объединенные Пензенские Водочные Заводы,2.94,↓ --170,12
Холодный хмель,Tomskoe Pivo (Томское Пиво),2.94,–,30
Venskoe Export (Венское ЭкспортЪ),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),2.94,↓ --359,9
Firestarter,LiS Brew,2.94,↑ +875,9
New Retro Wave,Atmosphere Brewery,2.95,–,15
White Rabbit,ТАРКОС (TARKOS),2.95,↑ +378,41
Алтай Хан,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),2.95,↓ --610,11
Löwenbräu Wheat 0.0,AB InBev Efes,2.96,↓ --392,34
Sundae Service,Schwarz Kaiser Brewery,2.96,↓ --746,6
Tomato Gose,Victory Art Brew,2.96,–,6
Мама Хуана,Rainbow Fish Brewery,2.96,↑ +89,6
Saldens  Milk Sour Passion Fruit,Salden's Brewery,2.96,–,25
Tomato Motato,ТАРКОС (TARKOS),2.96,↑ +197,45
Celebration Stout,Victory Art Brew,2.96,–,26
Invaders Must Die,LiS Brew,2.96,↓ --87,7
Яблочный Сидр,Medovarus,2.96,–,14
All Together,Rewort Brewery,2.96,–,7
Сидрова Коза,Wolf's Brewery (Волковская Пивоварня),2.97,↓ --356,44
The Mix of Taste / Pineapple & Strawberry & Vanilla,Konix Brewery,2.97,–,16
Amstel IPA,Heineken Brewery (Объединенные Пивоварни Хейнекен),2.97,↓ --138,19
Black Currant + Basil,Appleton Ciders,2.98,↑ +1527,10
London,Форштадтская Пивоварня,2.98,↓ --550,11
ABV Not IBU: Nelson Sauvin,AF Brew,2.98,–,36
Baltika #0 Wheat / Балтика #0 Пшеничное,Baltika Breweries (Балтика),2.98,–,46
ДостоЭЛЬский,AB InBev Efes,2.98,↑ +670,33
Zhigulevkoe (Жигулевское),Tagilskoe Pivo (Тагильское Пиво),3.0,↓ --913,2
ТРОЙНОЙ ПШЕНИЧНЫЙ ЭЛЬ / TRIPLE WHEAT ALE,Vasileostrovskaya Brewery (Василеостровская Пивоварня),3.0,↑ +186,19
Marochnoe Bezalkogolnoe (Марочное Безалкогольное),Afanasy (Афанасий),3.0,↓ --916,2
Fondue Fountain,Red Button Brewery,3.0,–,2
Бархатное,Tihoretsky Pivovarenny Zavod (Тихорецкий Пивоваренный Завод),3.0,↓ --428,1
St. Anton Barberry Cider (Барбарис),Yablochny Spas (Яблочный Спас),3.0,↑ +363,3
IPAлит Матвеич,B.B. Craft Brewery,3.0,–,1
Stary Melnik Zolotoe (Старый Мельник Золотое),AB InBev Efes,3.0,–,1
Мандариновый бланш,Gubaha Brewery (Губахинская Пивоварня),3.0,–,1
One More,BrewT!,3.0,↑ +1575,1
Бражник / Hawk-moth,Пивоварня Чаща / Thicket Brewery,3.0,–,1
Сидр,ПЗ Канцлеръ,3.0,–,1
SoLo Citra,Atmosphere Brewery,3.0,–,1
Косоухофф Ячменное,KOSOUHOFF - by Amarant (Амарант),3.0,–,1
Лахтинское,Северная Пивоварня,3.0,↓ --555,1
Craft Tolstoy Rauchbier (Крафт  Толстой Rauchbier),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),3.0,↓ --300,3
Milk Stout,MainStream Brewery,3.0,↓ --452,5
Kelvish Apple-Pear Cider,Мастер-Продукт-Алтай (Master-Product-Altay),3.0,↑ +26,13
Český Džbánek (Чешский Джбанек),Tomskoe Pivo (Томское Пиво),3.0,–,7
Milkshake Micro,Konix Brewery,3.0,–,1
Рижское,Varnitsa (Варница),3.0,↓ --709,1
Midday Moscow IPA,Zagovor Brewery,3.0,–,2
Klosterbrau Schwarzbier,Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),3.0,–,1
Gellert Bavaria,Gellert & Wild Goat,3.0,–,1
Irish Red Ale (Ирландский Красный Эль),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),3.0,↓ --657,2
Amadeus светлое,Amadeus Brewery,3.0,–,1
Банное,Gambrinus (Гамбринус),3.0,–,1
Василеостровское светлый нефильтрованный лагер (Домашнее) / Vasileostrovskoe light unfiltered lager (aka Domashnee),Vasileostrovskaya Brewery (Василеостровская Пивоварня),3.0,–,1
PiLS (Пилс),Tagilskoe Pivo (Тагильское Пиво),3.0,↓ --871,3
Синеус,Varyag Brewery (Пивоварня Варяг),3.0,↑ +1291,2
APA,True House,3.0,↓ --374,2
Кто здесь?,Happy Brew,3.0,–,1
Циклон,Abbatskoe (Аббатское),3.0,–,1
Svetloe (Светлое),Ochakovo (Очаково),3.0,↓ --563,3
ДальноБОЙ,Abbatskoe (Аббатское),3.0,↓ --279,1
HIDEOUT,Mookhomor Production,3.0,↑ +1461,1
Хлебное светлое,Tagilskoe Pivo (Тагильское Пиво),3.0,↓ --850,1
Русский Имперский Стаут,ПЗ Канцлеръ,3.0,↑ +389,1
Ванильное,B.B. Craft Brewery,3.0,–,1
Avenue 77 Galaxy & Denali,CHIBIS Brewery,3.0,–,1
Von Weissmark,Pivzavod77 Brewery & Pub,3.0,↑ +491,2
Coconut Stout,ТАРКОС BREWLAB,3.0,↑ +51,1
90 шиллингов,B.B. Craft Brewery,3.0,↑ +1994,1
La Famiglia,Rewort Brewery,3.0,–,17
Медовуха Спасская,Stary Zavod (Старый Завод),3.0,↑ +1080,1
Indian Pale Ale Equinox & Chinook DDH,Der Kater Brewery,3.0,–,1
Makariy Marochnoe (Макарий Марочное),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),3.0,↓ --641,6
Степан Разин Белое,Heineken Brewery (Объединенные Пивоварни Хейнекен),3.0,↓ --3,4
Pina Colada Milkshake,Heartly Brewery,3.0,–,1
DOUBLE IPA,Vasileostrovskaya Brewery (Василеостровская Пивоварня),3.0,–,1
Жигулевское (на советских дрожжах),Afanasy (Афанасий),3.0,↓ --576,1
Коза в Малиннике,New Riga's Brewery,3.0,–,4
Bazar Clan (Alc.Free),Red Button Brewery,3.0,–,3
Baltika Razlivnoe (Балтика Разливное),Baltika Breweries (Балтика),3.0,–,1
Доставьте меня по адресу. Gorodetsky Gingerbread Edition,Butch & Dutch,3.0,–,1
Jingle All the Way,Victory Art Brew,3.0,–,1
Prazdnichny (Праздничный),Buket Chuvashii (Букет Чувашии),3.0,↓ --466,1
Graffiti Artist,Rewort Brewery,3.0,–,1
Zhivoe Osvetlyennoe (Живое Осветленное),Afanasy (Афанасий),3.0,↓ --575,1
Чёрный вигвам / Black Lodge,Пивоварня Чаща / Thicket Brewery,3.0,–,4
Trekhgornoe Classic (Трехгорное Классическое),Moscow Brewing Company (Московская Пивоваренная Компания),3.0,–,10
Вкус и Цвет ( Лимон-Лайм) / Taste And Color (lemon-Lime),Afanasy (Афанасий),3.0,–,2
ЯСЛЯНКА,Bakunin Brewing Co.,3.0,–,4
Ainhorn,ТАРКОС (TARKOS),3.0,–,1
HOP LAGER,Vasileostrovskaya Brewery (Василеостровская Пивоварня),3.0,–,4
Abbatskoe Pshenichnoe (Аббатское Пшеничное),Abbatskoe (Аббатское),3.0,↓ --934,1
Tosol,LiS Brew,3.0,↑ +1458,14
Фермерское яблоко,ТАРКОС BREWLAB,3.0,↑ +1971,1
The Blob,Ostrovica,3.0,–,1
Ванильный Портер,Wolf's Brewery (Волковская Пивоварня),3.0,–,1
Малиновое,Tolstiy Fraer (Толстый Фраер),3.0,–,1
Krymcraft Double Hops,ПБК Крым (Krym),3.0,–,1
Telmann Long Journey IPA,Telmann,3.0,↑ +173,8
Single Cherry,Pivzavod77 Brewery & Pub,3.0,↓ --5,1
Пятый Океан Русский Лагер,Moscow Brewing Company (Московская Пивоваренная Компания),3.0,–,1
Harvest Brew,Wooden Beard Brewery,3.0,↑ +15,1
Vyatich Yachmennoe (Вятич Ячменное),Vyatich (Вятич),3.0,–,1
Бельгийское Пшеничное Нефильтрованное,Альпина (Alpina),3.0,–,1
IPA v.2,Wolf's Brewery (Волковская Пивоварня),3.0,–,2
Sour Bubbles,Telmann,3.0,↑ +1937,1
Burning Jam: Pink Guava & Melon,Brew Division,3.0,↑ +1282,1
Белый Кремль Лёгкое,Белый Кремль (Bely Kreml),3.0,↓ --817,4
Gellert Premium Draft,Gellert & Wild Goat,3.0,↑ +174,1
Боровское безалкогольное,ПЗ Канцлеръ,3.0,–,1
Baltika #5 Gold / Балтика #5 Золотое,Baltika Breweries (Балтика),3.0,↓ --314,87
Sorrel × Gooseberry × Mint,Symbiotica by AF Brew × BSG,3.0,↑ +582,1
Irish Ale (Ирландский Эль),Krop-Pivo (Кроп-Пиво),3.0,↓ --1088,1
Пятый Океан Немецкий Вайцен,Moscow Brewing Company (Московская Пивоваренная Компания),3.0,–,1
Svetloe (Светлое),Пивоварня Мюнхель (Münhell Brewery),3.0,↑ +582,1
Zhigulevskoe (Жигулевское),Vyatich (Вятич),3.0,↓ --1020,3
Кропоткинъ Темное,Krop-Pivo (Кроп-Пиво),3.0,↑ +56,1
Chinook & Mosaic DIPA,Sparrow's Brewery,3.0,–,1
Craft Tolstoy Weizen (Крафт Толстой Weizen),Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),3.0,↓ --150,1
Vienna Lager,Shagov'S Brewing Co.,3.0,–,2
Weissberg,Samko Brewery (Пивоваренный Завод Самко),3.0,↑ +171,2
Вице канцлеръ,ПЗ Канцлеръ,3.0,–,1
Pumpkin Ale,Trigger,3.0,↑ +361,1
Velkopopovický Kozel/Světlý,AB InBev Efes,3.0,–,1
Asia Club,NoName Brew,3.0,↑ +1087,1
Horizon,Bakunin Brewing Co.,3.0,–,1
Harp Irish Lager,Moscow Brewing Company (Московская Пивоваренная Компания),3.0,–,1
Braus (Браус) Премиум лагер,Lakinsky Pivzavod (Лакинский Пивзавод),3.0,↓ --600,1
Косоухофф Пьяный Лось,KOSOUHOFF - by Amarant (Амарант),3.0,↓ --143,1
Вишневый Эль,Ravencraft,3.0,↓ --1010,1
Joust Lager  - Немецкий хеллес ,MoonShine,3.0,↓ --35,1
Cherry Eternity,Zavod,3.0,–,1
Punched Card,Zagovor Brewery,3.0,–,3
Prival (Привал),Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),3.0,–,1
Три Столицы,Knightberg,3.0,–,2
Kvass Ochakovskiy Guarana & Cherry,Ochakovo (Очаково),3.0,↑ +165,1
Limbo,LiS Brew,3.0,↑ +1337,3
Sweet Soul,CHIBIS Brewery,3.0,–,1
Simply Märzen,Victory Art Brew,3.0,–,7
Beer Story,Heartly Brewery,3.0,–,1
Pub Hell,MainStream Brewery,3.0,↓ --373,2
"Gösser Lemon Radler 0,0%",Heineken Brewery (Объединенные Пивоварни Хейнекен),3.0,↑ +164,1
Два топора (Two Axe),Пивоварня Кожевниково (Kozhevnikovo Brewery),3.0,↓ --609,2
Pecan Pie Stout,Salden's Brewery,3.0,–,1
1650,Barbudos,3.0,↓ --146,1
 Безалкогольное,Krop-Pivo (Кроп-Пиво),3.0,↑ +166,2
Hard Rock,Danilovskaya Pivovarnya (Даниловская Пивоварня),3.0,↓ --311,1
Kozel Černý,AB InBev Efes,3.0,–,1
Pineapple + Coconut Cider,Appleton Ciders,3.0,↑ +1420,1
Gonzo,Heartly Brewery,3.0,–,1
Думать Дважды,BEERMANBRU,3.0,–,1
Kelvish Apple-Raspberry Cider,Мастер-Продукт-Алтай (Master-Product-Altay),3.0,↓ --398,4
чешское темное,Afanasy (Афанасий),3.0,–,1
Чешская варница,ПБК Крым (Krym),3.0,↓ --802,3
Slavyanskoe (Славянское),AB InBev Efes,3.0,–,2
Чёрная Каракатица,KOSOUHOFF - by Amarant (Амарант),3.0,–,1
English Ale,Amadeus Brewery,3.0,–,1
Blanche De Croix,Gubaha Brewery (Губахинская Пивоварня),3.0,↑ +349,4
Немецкое Пшеничное,Varnitsa (Варница),3.0,↓ --711,4
Шерлок,AB InBev Efes,3.0,–,2
"Cider Biodynamic, Aged In Oak Foeder Batch #2",Salden's Brewery,3.0,–,4
Wild Trick // Passion Fruit Ed.,XP Brew,3.0,–,1
Gargantua Zephyr,Кафедра Сидра,3.0,↑ +162,2
Altendorf,Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),3.0,↓ --750,4
American Pale Ale,Der Kater Brewery,3.0,↑ +1906,1
Чепецкое Dark,Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),3.0,–,1
Russian Imperial Stout (CNF) Plum Edition,LaBEERint Brewery,3.0,–,1
Losiny Bereg (Лосиный Берег),Moscow Brewing Company (Московская Пивоваренная Компания),3.0,↓ --146,6
Le Miel Noir,Sever Meadery,3.0,↑ +1853,5
Guide To the Nelson Sauvin,Rainbow Fish Brewery,3.0,–,1
Kupets #2 Hmelnoy (Купец #2 Хмельной),Zavod Pivovarenny Morshansky (Завод Пивоваренный Моршанский),3.0,↑ +1552,1
Степан Тимофеевич (Stepan Timofeyevich),Deka (Дека),3.0,↓ --1097,1
Velkopopovický Kozel/Černý,AB InBev Efes,3.0,–,1
Хмельное,Tihoretsky Pivovarenny Zavod (Тихорецкий Пивоваренный Завод),3.0,↑ +1551,1
Rest My Chemistry,GAS Brew,3.0,↓ --452,1
Varka Premium,New Riga's Brewery,3.0,↓ --410,10
Lumivalguke,Victory Art Brew,3.0,–,1
Грейпфрутовый Двойной Пэйл-Эль,Ravencraft,3.0,↑ +593,1
Oak Smoked Tomato Gose Italian Edition,Salden's Brewery,3.01,–,25
Bowler Brilliant Ale,Gletcher Brewery (Глетчер),3.01,↓ --722,23
APA Azacca & Pekko,Wolf's Brewery (Волковская Пивоварня),3.02,↓ --229,25
Jaws Lager,Jaws Brewery,3.02,–,20
Токсовский Трамплин,Токсовская Сидрерия (On The Bones),3.03,–,9
Average Bear,XP Brew,3.03,–,9
Волнительный / Volnitelnyj,Brewlok Brewery,3.03,–,9
Юзберг Пилснер (Yuzberg Pilsner),Suzdal Brewery (Суздальская Пивоварня),3.03,↓ --60,24
Голден Лагер,Augustine (Августин),3.04,↑ +648,7
Patterns: Waimea & Cascade,NoName Brew,3.04,↑ +630,7
"Morning, Mangos!",RMBrew,3.04,↓ --32,7
Karamazov Bros. IPA,Craft Brew Riots,3.04,–,19
Вишня в дубе,Zavod Trehsosensky (Завод Трехсосенский),3.04,↓ --582,19
Orangella,Токсовская Сидрерия (On The Bones),3.04,–,31
Victor Session Pale Ale V.1,ID Jons,3.04,↓ --459,6
Пино Нуар,Пивоварня Якорь,3.04,↑ +1358,6
Tomskoe Firmennoe (Томское Фирменное),Tomskoe Pivo (Томское Пиво),3.04,–,6
Kruger Barhatnoe (Крюгер Бархатное),Tomskoe Pivo (Томское Пиво),3.04,↑ +513,6
Knightberg Hefeweizen,Knightberg,3.04,↑ +122,6
Охота Лондонский Портер,Heineken Brewery (Объединенные Пивоварни Хейнекен),3.05,↓ --554,67
Варяг,Brewlok Brewery,3.05,–,5
Saldens Lager,Salden's Brewery,3.05,–,10
Мистер Лис Сочная Груша,Heineken Brewery (Объединенные Пивоварни Хейнекен),3.05,↓ --775,20
Чешский Гранат,Пивоварня Кожевниково (Kozhevnikovo Brewery),3.05,↓ --797,5
Gracias Madre,Gorkovskaya Brewery (Горьковская пивоварня),3.05,↑ +1805,5
Nøørden,Stamm Brewing,3.05,–,19
Hoppy Bitch,Courage Brewery,3.05,↑ +569,23
Dont Worry Baby,Jaws Brewery,3.06,–,9
Spitze,Knightberg,3.06,↑ +923,9
Essa Lime & Mint,AB InBev Efes,3.06,↓ --214,9
Legenda Хмель & Friends Pale Lager,Baltika Breweries (Балтика),3.06,–,42
Russian Imperial Stout (barrel # Madeira),Konix Brewery,3.06,–,4
Hmeleff Svetloe (Хмелефф Светлое),Hmeleff (Хмелефф),3.06,↓ --1225,4
Yarpivo Amber (Ярпиво Янтарное),Baltika Breweries (Балтика),3.06,–,4
New England IPA,Gellert & Wild Goat,3.06,↓ --131,4
Fon Vakano Temnoe (Фон Вакано Тёмное),Zhigulevskoe Pivo (Жигулевское Пиво),3.06,↑ +587,4
Жигулятор.Лагер (Zhigulyator.Lager),Hammermill Brewery (Бутлегер),3.06,↓ --424,4
MISTER GREEN,LiS Brew,3.06,↓ --68,8
Nevskoe Originalnoe (Невское Оригинальное),Baltika Breweries (Балтика),3.06,–,4
Большая Кружка Баварское,Baltika Breweries (Балтика),3.06,–,4
Hamovniki Venskoe (Хамовники Венское),Moscow Brewing Company (Московская Пивоваренная Компания),3.06,↑ +9,90
St. Anton Rosé Cider (Розовый),Yablochny Spas (Яблочный Спас),3.07,↓ --30,23
Mjöd Amber (Традиционный),Medovarus,3.07,–,33
Simcoe IPA,Salden's Brewery,3.07,–,11
Пан Томаш,ТАРКОС (TARKOS),3.07,↓ --380,11
Bohemian Pils,Gorkovskaya Brewery (Горьковская пивоварня),3.07,↓ --72,67
Velvet (Бархатное Фирменное),Baltika Breweries (Балтика),3.07,–,21
Kriek (Вишневый Крик),Medovarus,3.07,–,21
Black Illusion,Konix Brewery,3.07,–,7
Chesters Original Pear Sweet Cider,Chester's,3.07,↑ +113,24
Chérie Cherry,Konix Brewery,3.08,–,33
Legenda Хмель & Friends Vienna Lager,Baltika Breweries (Балтика),3.08,–,31
MANGO,Gorkovskaya Brewery (Горьковская пивоварня),3.08,–,3
Crazy Ginger,ПЗ Канцлеръ,3.08,↓ --454,3
Ялта (Yalta),ПБК Крым (Krym),3.08,↓ --828,3
34/70,Black Head Brew,3.08,↓ --292,3
Hangover Sap,AF Brew,3.08,–,3
St. Leo,Los Pivnos Brewery,3.08,↓ --1030,3
Hyperborea Cherry Edition,One Ton Brewery (Пивоварня Одна Тонна),3.08,–,6
Kruger Traditsionnoe (Крюгер Традиционное),Tomskoe Pivo (Томское Пиво),3.08,–,3
HAZY MINIMAL,Konix Brewery,3.08,–,6
"Blueberry + Rosemary, Lemongrass & Mint",Appleton Ciders,3.09,↑ +1116,17
Волчок,Wolf's Brewery (Волковская Пивоварня),3.09,↓ --381,106
Witbier,Salden's Brewery,3.09,–,8
Медовуха Спасская Ягодная с Брусникой,Stary Zavod (Старый Завод),3.09,↓ --476,8
5th Ocean Cider (5-й Океан Яблочный Сидр),Moscow Brewing Company (Московская Пивоваренная Компания),3.09,–,8
Posh Premium Sicilian Orange,Cider House (ТД Фонте),3.1,↑ +240,18
FLANDERS ALE,ТАРКОС BREWLAB,3.1,↑ +279,5
Kelvish Apple Cider Semi-Sweet,Мастер-Продукт-Алтай (Master-Product-Altay),3.1,↑ +93,10
Weird Twist,CHIBIS Brewery,3.1,↓ --815,5
Малиновый Ламбик,Medovarus,3.1,–,5
Dobry Libor (Добрый Либор),Пивоварня Кожевниково (Kozhevnikovo Brewery),3.1,↑ +242,5
Algorithm Coconut,Zagovor Brewery,3.1,–,5
Peanut Planet,XP Brew,3.1,–,5
Yuzu Sour Ale,Salden's Brewery,3.1,–,12
Blanche De Fleur,Gletcher Brewery (Глетчер),3.1,↓ --439,24
Чеширский Кот,ТАРКОС (TARKOS),3.11,↓ --251,19
Unbroken,Gorkovskaya Brewery (Горьковская пивоварня),3.11,↓ --1255,7
Макларин 1976 Ремесленное,Afanasy (Афанасий),3.11,↑ +98,18
Banana Kraken,Panzer Brewery,3.11,↑ +531,31
La Famiglia Ver. 2,Rewort Brewery,3.12,–,15
BBQ Tomato Gose,LiS Brew,3.12,↑ +109,21
Feilong,Heineken Brewery (Объединенные Пивоварни Хейнекен),3.12,↓ --1073,2
Вендетта,Lovecraft Weird Brewery,3.12,–,2
Пенное,Bulgarpivo (Булгарпиво),3.12,↓ --1072,2
Dublin,MainStream Brewery,3.12,↓ --49,2
Braus (Браус) Янтарный эль,Lakinsky Pivzavod (Лакинский Пивзавод),3.12,↓ --214,2
Ritter Roggen,Danilovskaya Pivovarnya (Даниловская Пивоварня),3.12,–,2
...ici dansent,Barbudos,3.12,↓ --610,2
Тропическая Дичь,Atmosphere Brewery,3.12,↑ +1602,10
Pervoe Zhivoe (Первое Живое),Afanasy (Афанасий),3.12,↑ +752,6
Пенное Серебро (Pennoe Serebro),Buket Chuvashii (Букет Чувашии),3.12,↓ --517,2
Tripel Blond,Пивоварня Мюнхель (Münhell Brewery),3.12,↑ +72,12
Столбуха пряная,Lakinsky Pivzavod (Лакинский Пивзавод),3.12,↓ --1029,2
АПАчи,Augustine (Августин),3.12,↑ +102,12
Crazy Ice,Crazy Brew,3.12,↓ --495,2
Weiss Berg Безалкогольное,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),3.12,↓ --645,2
The Loud Music of the Sky,Plan B Brewery,3.12,–,2
MECHANICAL LOVE,Big Village Brewery,3.12,–,2
Bazar Clan,Red Button Brewery,3.12,↓ --765,2
Hmeleff Krepkoe (Хмелёфф Крепкое),Hmeleff (Хмелефф),3.12,↓ --493,2
Марочное,Buket Chuvashii (Букет Чувашии),3.12,↓ --453,2
American Pale Ale (APA),ПЗ Канцлеръ,3.12,↓ --298,2
Гурман,Ant Brewery,3.12,↓ --586,2
Appelish Apple Cider,Cider House (ТД Фонте),3.12,↓ --213,2
Ledokol Krepkoe (Ледокол Крепкое),Ochakovo (Очаково),3.12,↓ --1137,4
Indian Pale Ale (IPA),ПЗ Канцлеръ,3.12,↓ --654,4
Hyper Super Currant,Lakinsky Pivzavod (Лакинский Пивзавод),3.12,↓ --493,2
Cherry Sour Ale,Пинта,3.12,↓ --925,2
Советское,Varnitsa (Варница),3.12,↑ +83,2
Чешская Варница Бархатное,ПБК Крым (Krym),3.12,↓ --495,2
Dobroe Barhatnoe (Доброе Бархатное),Afanasy (Афанасий),3.12,–,2
Stibium Sour Black Stout,Nuclear Brewery,3.12,↑ +492,2
Gellert Pilsner,Gellert & Wild Goat,3.12,↑ +446,4
Малиновый сидр,Wolf's Brewery (Волковская Пивоварня),3.12,–,2
ТОР,Varyag Brewery (Пивоварня Варяг),3.12,↑ +1450,2
Kuyt,Shagov'S Brewing Co.,3.12,–,2
Sour Diesel Therapy: Raspberry ∙ Blueberry ∙ Blackberry,AF Brew,3.13,–,19
Medoed,ТАРКОС (TARKOS),3.13,↑ +721,15
Mandarina Bavaria Pale Ale,Crazy Brew,3.13,↑ +46,15
Keltainen (Келтайнен),Schwarz Kaiser Brewery,3.14,↑ +1445,11
Santa Muerte,4BREWERS,3.14,–,9
American Illusion APA,Mookhomor Production,3.14,↑ +200,9
Hoek Van Nieuw Holland,AF Brew,3.14,–,9
Черничные ночи,Gorkovskaya Brewery (Горьковская пивоварня),3.14,↓ --684,25
Старомонастырский Эль,Afanasy (Афанасий),3.14,↓ --156,16
Jiangshi,Lux In Tenebris,3.14,↑ +1616,16
Бананбеrrи & Apricot,Pivot Point,3.14,↑ +496,14
Pumpkin Ale Candy Apple,Gletcher Brewery (Глетчер),3.14,↑ +960,35
Vildmjöd (Дикий),Medovarus,3.14,–,14
Fall of Gifts,Paradox,3.14,↓ --275,26
American Gothic (Grant Wood),New Riga's Brewery,3.14,↑ +255,45
Ausweis,Gletcher Brewery (Глетчер),3.15,↓ --493,24
Port Artur (Порт Артур),Wolf's Brewery (Волковская Пивоварня),3.15,↓ --193,86
Yuzberg Weiss (Юзберг Вайс),Suzdal Brewery (Суздальская Пивоварня),3.15,↑ +227,32
GAMMA FESTIVAL ANNIVERSARY SELECTION,Bakunin Brewing Co.,3.15,–,74
India Pale Ale,Gorkovskaya Brewery (Горьковская пивоварня),3.15,↓ --284,131
Irish Ale Shamrock (Ирландский Эль Shamrock),Tomskoe Pivo (Томское Пиво),3.15,–,10
Get the Brett,Wolf's Brewery (Волковская Пивоварня),3.15,–,5
Три Столицы,Knightberg,3.15,↓ --856,10
5th Ocean Grand Ale (5-й Океан Гранд Эль),Moscow Brewing Company (Московская Пивоваренная Компания),3.15,–,5
Parallax (Galaxy & Mosaic),Plan B Brewery,3.15,–,5
Varka Psheno,New Riga's Brewery,3.15,↓ --512,15
Ледяное,Augustine (Августин),3.15,↑ +1055,10
Fiery Pumpkin,Konix Brewery,3.15,–,33
Three Identical Strangers: HBC 438,AF Brew,3.15,–,18
AFTERGLOW,Bakunin Brewing Co.,3.15,–,31
DARK ISLAND,GUSI,3.15,↑ +1175,13
Zavod APA v2.0,Zavod,3.15,↑ +1713,21
Komanda,Victory Art Brew,3.16,–,8
Sour Ale Tangerine,Salden's Brewery,3.16,–,27
G.O.S.E. | Raspberry & Ginger,XP Brew,3.16,–,22
Sabro Lake,Landau Beerlab,3.16,↑ +1023,14
Classic Pilsner (Классическое Светлое),Schwarz Kaiser Brewery,3.17,–,3
Berry Garden Raspberry & Black Currant,Konix Brewery,3.17,–,3
Petit,Bullevie,3.17,↓ --270,3
Coffee Stout,ТАРКОС BREWLAB,3.17,↑ +475,3
ДОКТОР ФАУСТ / DOCTOR FAUST,Vasileostrovskaya Brewery (Василеостровская Пивоварня),3.17,–,6
Double Chocolate Banana Cake,AF Brew,3.17,–,6
Punk Fiction,MANFAS Brewery,3.17,↑ +942,12
The Mixt of Taste,Konix Brewery,3.17,–,3
Berry Garden Cranberry & Blackberry,Konix Brewery,3.17,–,3
Чешское Элитное,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),3.17,↓ --1151,3
My Sweet (Мой сладкий),Частная Пивоварня ПетровичЪ,3.17,↑ +143,3
