НАЗВАНИЕ,ГОРОД,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Tomskoe Pivo (Томское Пиво),Москва,3.47,↑ +57,9
Pivot Point,Москва,3.47,↓ -2,89
One Ton Brewery (Пивоварня Одна Тонна),Москва,3.47,–,43
Courage Brewery,Москва,3.46,↑ +49,25
Trigger,Москва,3.46,↑ +6,59
New Riga's Brewery,Москва,3.46,–,93
Brew Fiction,Москва,3.45,↓ -14,11
Bottle Share,Москва,3.45,↓ -46,22
Medovarus,Москва,3.44,↑ +28,4
NoName Brew,Москва,3.44,–,32
Konix Brewery,Москва,3.43,↓ -8,113
Ostrovica,Moscow,3.43,↓ -67,18
Rocket City Brewery,Москва,3.42,–,40
ТАРКОС (TARKOS),Москва,3.42,↑ +1,10
XP Brew,Москва,3.42,–,143
Hmeleff (Хмелефф),Москва,3.42,↑ +58,6
Black Head Brew,Москва,3.41,↓ -132,14
Пивоварня Чаща / Thicket Brewery,Moscow,3.41,–,24
Zhigulevskoe Pivo (Жигулевское Пиво),Москва,3.4,↑ +38,5
Jaws Brewery,Moscow,3.4,–,12
Lux In Tenebris,Moscow,3.39,–,7
Alaska Brewery,Москва,3.39,↓ -18,123
GUSI,Moscow,3.38,–,2
Afanasy (Афанасий),Москва,3.38,↑ +56,16
FIRST'S Brewery,Москва,3.38,–,2
Bullevie,Москва,3.36,↓ -5,11
True House,Москва,3.36,↓ -2,7
Varyag Brewery (Пивоварня Варяг),Москва,3.36,↓ -19,14
Appleton Ciders,Москва,3.34,–,40
Бородино / ПК Возрождение,Москва,3.33,↓ -2,3
1516 Pub & Brewery,Москва,3.33,↓ -47,6
Vasileostrovskaya Brewery (Василеостровская Пивоварня),Москва,3.3,↓ -9,23
Atmosphere Brewery,Москва,3.3,–,53
Nuclear Brewery,Москва,3.3,–,54
Rock'n'Beer,Москва,3.29,↑ +20,6
ПЗ Канцлеръ,Москва,3.25,–,1
Poet Brewery&Bar (Поэт – пивоварня и бар),Москва,3.25,↑ +5,4
Salden's Brewery,Moscow,3.25,–,5
KOSOUHOFF - by Amarant (Амарант),Москва,3.25,–,1
Stavropolsky Pivovarenny Zavod (Ставропольский Пивоваренный Завод),Москва,3.25,–,2
Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),Москва,3.25,↓ -12,1
LaBEERint Brewery,Москва,3.22,↑ +9,27
Пивоварня Якорь,Москва,3.21,↑ +27,7
Крафт Лаборатория,Москва,3.21,↓ -26,19
Atmosphere Brewery,Moscow,3.2,–,5
Red Button Brewery,Moscow,3.17,–,19
Gorkovskaya Brewery (Горьковская пивоварня),Москва,3.17,↑ +16,30
BUMBLE.BEER,Москва,3.17,↓ -14,3
Bulgarpivo (Булгарпиво),Москва,3.12,–,4
Hammermill Brewery (Бутлегер),Москва,3.11,↓ -31,7
Moscow Brewing Company (Московская Пивоваренная Компания),Москва,3.1,–,131
Gletcher Brewery (Глетчер),Moscow,3.1,–,5
Paradox,Moscow,3.06,–,4
Pivovarenny Zavod Maykopsky (Пивоваренный Завод Майкопский),Москва,3.0,↑ +31,1
Mookhomor Production,Москва,3.0,–,3
LiS Brew,Moscow,3.0,–,1
Samko Brewery (Пивоваренный Завод Самко),Москва,3.0,–,1
Заря,Москва,3.0,↑ +3,2
Хадыженский Пивзавод,Москва,3.0,↑ +36,1
Cider House (ТД Фонте),Москва,2.94,↑ +6,4
Chester's,Москва,2.94,↑ +6,4
Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),Москва,2.93,↑ +17,11
Craab,Москва,2.92,–,3
Beer Bros Brewery,Москва,2.91,↓ -100,38
Vyatich (Вятич),Москва,2.91,↓ -1,11
Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),Москва,2.89,↓ -40,14
Crazy Brew,Москва,2.89,↓ -19,9
ПБК Крым (Krym),Москва,2.88,↓ -30,2
Brewlok Brewery,Moscow,2.8,–,5
AB InBev Efes,Москва,2.76,↑ +7,56
084Brewery,Москва,2.75,–,1
Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),Москва,2.75,–,1
Varnitsa (Варница),Москва,2.75,↑ +11,12
Пивоварня Кожевниково (Kozhevnikovo Brewery),Москва,2.75,–,6
Malz & Hopfen,Москва,2.75,↑ +21,1
Baltika Breweries (Балтика),Москва,2.64,↑ +6,63
Gambrinus (Гамбринус),Москва,2.62,–,2
Pivovarenny Dom Bavaria (Пивоваренный Дом Бавария),Москва,2.5,–,1
Ame Wild Freaks,Москва,2.5,↓ -195,1
Tagilskoe Pivo (Тагильское Пиво),Москва,2.5,–,1
Heineken Brewery (Объединенные Пивоварни Хейнекен),Москва,2.47,↑ +13,9
Ochakovo (Очаково),Москва,2.46,↑ +1,12
MainStream Brewery,Москва,2.38,↓ -27,8
Пинта,Москва,2.3,–,5
Lakinsky Pivzavod (Лакинский Пивзавод),Москва,2.25,–,1
Buket Chuvashii (Букет Чувашии),Москва,2.18,↓ -24,14
Форштадтская Пивоварня,Москва,2.12,–,2
Bryanskpivo (Брянскпиво),Москва,2.0,–,1
Мастер-Продукт-Алтай (Master-Product-Altay),Москва,2.0,↓ -93,1
Lipetskpivo (Липецкпиво),Москва,2.0,↓ -49,1
ID Jons,Москва,2.0,–,4
Zavod Pivovarenny Morshansky (Завод Пивоваренный Моршанский),Москва,2.0,↓ -146,1
Krop-Pivo (Кроп-Пиво),Москва,1.88,–,2
Zavod Trehsosensky (Завод Трехсосенский),Москва,1.81,↓ -4,8
Solbirs Brewery,Москва,1.75,↓ -35,3
Los Pivnos Brewery,Москва,1.5,–,2
One Ton Brewery (Пивоварня Одна Тонна),Moscow,0.5,–,1
Velka Morava,Moscow,0.0,–,3
